Gene name	Human gene stable ID	Human gene name	Query protein or transcript ID	Human homology type	Human orthology confidence [0 low, 1 high]
TPMT	ENSG00000137364	TPMT	ENSTGUP00000006416	ortholog_one2one	1
RNF150	ENSG00000170153	RNF150	ENSTGUP00000032282	ortholog_one2one	1
PLAGL1	ENSG00000118495	PLAGL1	ENSTGUP00000011365	ortholog_one2one	1
OTX1	ENSG00000115507	OTX1	ENSTGUP00000025795	ortholog_one2one	1
TINAG	ENSG00000137251	TINAG	ENSTGUP00000013227	ortholog_one2one	1
	ENSG00000145247	OCIAD2	ENSTGUP00000021842	ortholog_one2one	0
ZNF277	ENSG00000198839	ZNF277	ENSTGUP00000021391	ortholog_one2one	1
					
RIOX1	ENSG00000170468	RIOX1	ENSTGUP00000020886	ortholog_one2one	1
CA2	ENSG00000104267	CA2	ENSTGUP00000012095	ortholog_one2one	1
PAN3	ENSG00000152520	PAN3	ENSTGUP00000011983	ortholog_one2one	1
IPO5	ENSG00000065150	IPO5	ENSTGUP00000023712	ortholog_one2one	1
ANK2	ENSG00000145362	ANK2	ENSTGUP00000018475	ortholog_one2one	1
					
TBC1D9	ENSG00000109436	TBC1D9	ENSTGUP00000002418	ortholog_one2one	1
DOP1B	ENSG00000142197	DOP1B	ENSTGUP00000004933	ortholog_one2one	1
					
					
EMG1	ENSG00000126749	EMG1	ENSTGUP00000013664	ortholog_one2one	1
RUNX2	ENSG00000124813	RUNX2	ENSTGUP00000036444	ortholog_one2one	1
ATP6V0D2	ENSG00000147614	ATP6V0D2	ENSTGUP00000012100	ortholog_one2one	1
					
CWH43	ENSG00000109182	CWH43	ENSTGUP00000008203	ortholog_one2one	1
					
LTV1	ENSG00000135521	LTV1	ENSTGUP00000030463	ortholog_one2one	1
ELMOD2	ENSG00000179387	ELMOD2	ENSTGUP00000022471	ortholog_one2one	1
KDM1B	ENSG00000165097	KDM1B	ENSTGUP00000006431	ortholog_one2one	1
					
					
					
FAM83B	ENSG00000168143	FAM83B	ENSTGUP00000013226	ortholog_one2one	1
NUMB	ENSG00000133961	NUMB	ENSTGUP00000028631	ortholog_one2one	1
					
					
					
					
					
LPCAT3	ENSG00000111684	LPCAT3	ENSTGUP00000013662	ortholog_one2one	1
DEK	ENSG00000124795	DEK	ENSTGUP00000006448	ortholog_one2one	1
EHBP1	ENSG00000115504	EHBP1	ENSTGUP00000034136	ortholog_one2one	1
IRAG2	ENSG00000118308	IRAG2	ENSTGUP00000032559	ortholog_one2one	1
DCUN1D4	ENSG00000109184	DCUN1D4	ENSTGUP00000024845	ortholog_one2one	1
CBR1	ENSG00000159228	CBR1	ENSTGUP00000029631	ortholog_one2one	1
HCRTR2	ENSG00000137252	HCRTR2	ENSTGUP00000013224	ortholog_one2one	1
	ENSG00000205301	MGAT4D	ENSTGUP00000030723	ortholog_one2one	0
WWP1	ENSG00000123124	WWP1	ENSTGUP00000012107	ortholog_one2one	1
SLC19A1	ENSG00000173638	SLC19A1	ENSTGUP00000017005	ortholog_one2one	1
CLIC5	ENSG00000112782	CLIC5	ENSTGUP00000021439	ortholog_one2one	1
SMARCA1	ENSG00000102038	SMARCA1	ENSTGUP00000021957	ortholog_one2one	1
					
SIGLEC1	ENSG00000088827	SIGLEC1	ENSTGUP00000016686	ortholog_one2one	1
GFRAL	ENSG00000187871	GFRAL	ENSTGUP00000013220	ortholog_one2one	1
	ENSG00000188993	LRRC66	ENSTGUP00000008152	ortholog_one2one	0
RNF144B	ENSG00000137393	RNF144B	ENSTGUP00000037809	ortholog_one2one	1
SETD4	ENSG00000185917	SETD4	ENSTGUP00000024399	ortholog_one2one	1
ENPP4	ENSG00000001561	ENPP4	ENSTGUP00000013637	ortholog_one2one	1
LARP7	ENSG00000174720	LARP7	ENSTGUP00000019450	ortholog_one2one	1
ID4	ENSG00000172201	ID4	ENSTGUP00000006464	ortholog_one2one	1
					
SGCB	ENSG00000163069	SGCB	ENSTGUP00000026114	ortholog_one2one	1
HMGCLL1	ENSG00000146151	HMGCLL1	ENSTGUP00000019210	ortholog_one2one	1
GAB3	ENSG00000160219	GAB3	ENSTGUP00000004066	ortholog_one2one	1
					
VAX2	ENSG00000116035	VAX2	ENSTGUP00000015117	ortholog_one2one	1
					
FARP1	ENSG00000152767	FARP1	ENSTGUP00000019710	ortholog_one2one	1
C1S	ENSG00000182326	C1S	ENSTGUP00000035155	ortholog_one2one	1
MBOAT1	ENSG00000172197	MBOAT1	ENSTGUP00000021425	ortholog_one2one	1
					
ENPP5	ENSG00000112796	ENPP5	ENSTGUP00000013636	ortholog_one2one	1
					
SCOC	ENSG00000153130	SCOC	ENSTGUP00000022930	ortholog_one2one	1
					
RUNX1	ENSG00000159216	RUNX1	ENSTGUP00000004858	ortholog_one2one	1
					
tgu-mir-367	ENSG00000199169	MIR367	ENSTGUT00000018357	ortholog_one2one	1
BMP5	ENSG00000112175	BMP5	ENSTGUP00000013211	ortholog_one2one	1
SPATA18	ENSG00000163071	SPATA18	ENSTGUP00000008122	ortholog_one2one	1
DOCK4	ENSG00000128512	DOCK4	ENSTGUP00000036298	ortholog_one2one	1
MAML3	ENSG00000196782	MAML3	ENSTGUP00000002350	ortholog_one2one	1
					
					
	ENSG00000128274	A4GALT	ENSTGUP00000023982	ortholog_one2many	1
E2F3	ENSG00000112242	E2F3	ENSTGUP00000034367	ortholog_one2one	1
					
					
					
	ENSG00000138018	SELENOI	ENSTGUP00000023323	ortholog_one2many	1
					
					
					
					
RMDN1	ENSG00000176623	RMDN1	ENSTGUP00000029616	ortholog_one2one	1
	ENSG00000128274	A4GALT	ENSTGUP00000019181	ortholog_one2many	0
					
TMEM17	ENSG00000186889	TMEM17	ENSTGUP00000002293	ortholog_one2one	1
FLT3	ENSG00000122025	FLT3	ENSTGUP00000018599	ortholog_one2one	1
					
ATP6V1B1	ENSG00000116039	ATP6V1B1	ENSTGUP00000017579	ortholog_one2one	1
CYP39A1	ENSG00000146233	CYP39A1	ENSTGUP00000013634	ortholog_one2one	1
					
COL6A2	ENSG00000142173	COL6A2	ENSTGUP00000027814	ortholog_one2one	1
COL21A1	ENSG00000124749	COL21A1	ENSTGUP00000013208	ortholog_one2one	1
KLHL8	ENSG00000145332	KLHL8	ENSTGUP00000022557	ortholog_one2one	1
					
					
C1R	ENSG00000159403	C1R	ENSTGUP00000013655	ortholog_one2one	1
PHACTR2	ENSG00000112419	PHACTR2	ENSTGUP00000011359	ortholog_one2one	1
					
	ENSG00000159212	CLIC6	ENSTGUP00000033839	ortholog_one2one	0
NEUROG2	ENSG00000178403	NEUROG2	ENSTGUP00000026793	ortholog_one2one	1
					
B3GNT2	ENSG00000170340	B3GNT2	ENSTGUP00000025273	ortholog_one2one	1
					
CYB5R3	ENSG00000100243	CYB5R3	ENSTGUP00000012512	ortholog_one2one	1
SLC25A27	ENSG00000153291	SLC25A27	ENSTGUP00000013630	ortholog_one2one	1
ALPK1	ENSG00000073331	ALPK1	ENSTGUP00000001853	ortholog_one2one	1
RBP5	ENSG00000139194	RBP5	ENSTGUP00000013653	ortholog_one2one	1
CDKAL1	ENSG00000145996	CDKAL1	ENSTGUP00000030686	ortholog_one2one	1
HSD17B11	ENSG00000198189	HSD17B11	ENSTGUP00000035722	ortholog_one2one	1
CNGB3	ENSG00000170289	CNGB3	ENSTGUP00000012141	ortholog_one2one	1
STK24	ENSG00000102572	STK24	ENSTGUP00000011398	ortholog_one2one	1
PAPLN	ENSG00000100767	PAPLN	ENSTGUP00000021246	ortholog_one2one	1
TDRD6	ENSG00000180113	TDRD6	ENSTGUP00000037651	ortholog_one2one	1
RCAN1	ENSG00000159200	RCAN1	ENSTGUP00000035616	ortholog_one2one	1
					
					
FUCA2	ENSG00000001036	FUCA2	ENSTGUP00000011344	ortholog_one2one	1
GC	ENSG00000145321	GC	ENSTGUP00000029010	ortholog_one2one	1
CDX2	ENSG00000165556	CDX2	ENSTGUP00000027226	ortholog_one2one	1
USP46	ENSG00000109189	USP46	ENSTGUP00000019258	ortholog_one2one	1
					
SLC15A1	ENSG00000088386	SLC15A1	ENSTGUP00000011386	ortholog_one2one	1
FTCD	ENSG00000160282	FTCD	ENSTGUP00000003550	ortholog_one2one	1
					
TIFA	ENSG00000145365	TIFA	ENSTGUP00000001852	ortholog_one2one	1
TEX261	ENSG00000144043	TEX261	ENSTGUP00000030349	ortholog_one2one	1
NUDT9	ENSG00000170502	NUDT9	ENSTGUP00000037978	ortholog_one2one	1
					
MMP16	ENSG00000156103	MMP16	ENSTGUP00000024627	ortholog_one2one	1
PLA2G7	ENSG00000146070	PLA2G7	ENSTGUP00000036336	ortholog_one2one	1
CLSTN3	ENSG00000139182	CLSTN3	ENSTGUP00000013650	ortholog_one2one	1
KCNE1	ENSG00000180509	KCNE1	ENSTGUP00000019394	ortholog_one2one	1
					
					
					
					
					
					
					
NAGK	ENSG00000124357	NAGK	ENSTGUP00000024524	ortholog_one2one	1
	ENSG00000212517		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212421		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212624		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212490		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000252236		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212187		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212590		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212608		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212558		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212224		ENSTGUT00000018657	ortholog_one2many	0
	ENSG00000212588	SNORA26	ENSTGUT00000018657	ortholog_one2many	0
					
					
VBP1	ENSG00000155959	VBP1	ENSTGUP00000004139	ortholog_one2one	1
					
AP1AR	ENSG00000138660	AP1AR	ENSTGUP00000001851	ortholog_one2one	1
GSX1	ENSG00000169840	GSX1	ENSTGUP00000011956	ortholog_one2one	1
SPARCL1	ENSG00000152583	SPARCL1	ENSTGUP00000002314	ortholog_one2one	1
MCM3AP	ENSG00000160294	MCM3AP	ENSTGUP00000003592	ortholog_one2one	1
	ENSG00000138029	HADHB	ENSTGUP00000038349	ortholog_one2many	1
SMIM11	ENSG00000205670	SMIM11	ENSTGUP00000016615	ortholog_one2one	1
RASL11B	ENSG00000128045	RASL11B	ENSTGUP00000027714	ortholog_one2one	1
COMMD1	ENSG00000173163	COMMD1	ENSTGUP00000002284	ortholog_one2one	1
RIPK2	ENSG00000104312	RIPK2	ENSTGUP00000012150	ortholog_one2one	1
RAB39B	ENSG00000155961	RAB39B	ENSTGUP00000033794	ortholog_one2one	1
					
					
KCNE2	ENSG00000159197	KCNE2	ENSTGUP00000029156	ortholog_one2one	1
					
CRLS1	ENSG00000088766	CRLS1	ENSTGUP00000002281	ortholog_one2one	1
					
					
IMP3	ENSG00000177971	IMP3	ENSTGUP00000013619	ortholog_one2one	1
					
					
	ENSG00000124374	PAIP2B	ENSTGUP00000026934	ortholog_one2one	0
	ENSG00000164893	SLC7A13	ENSTGUP00000018779	ortholog_many2many	0
DOCK9	ENSG00000088387	DOCK9	ENSTGUP00000011354	ortholog_one2one	1
SCFD2	ENSG00000184178	SCFD2	ENSTGUP00000021299	ortholog_one2one	1
IBSP	ENSG00000029559	IBSP	ENSTGUP00000002304	ortholog_one2one	1
ANKRD66	ENSG00000230062	ANKRD66	ENSTGUP00000013618	ortholog_one2one	1
	ENSG00000189007	ADAT2	ENSTGUP00000011325	ortholog_many2many	1
	ENSG00000075292	ZNF638	ENSTGUP00000014936	ortholog_one2one	0
					
YBEY	ENSG00000182362	YBEY	ENSTGUP00000003595	ortholog_one2one	1
CDKL2	ENSG00000138769	CDKL2	ENSTGUP00000001848	ortholog_one2one	1
					
MCM8	ENSG00000125885	MCM8	ENSTGUP00000031875	ortholog_one2one	1
					
LNX2	ENSG00000139517	LNX2	ENSTGUP00000034760	ortholog_one2one	1
OSGIN2	ENSG00000164823	OSGIN2	ENSTGUP00000023401	ortholog_one2one	1
					
VSIG1	ENSG00000101842	VSIG1	ENSTGUP00000004185	ortholog_one2one	1
					
PPFIBP1	ENSG00000110841	PPFIBP1	ENSTGUP00000038272	ortholog_one2one	1
AIG1	ENSG00000146416	AIG1	ENSTGUP00000024802	ortholog_one2one	1
SPP1	ENSG00000118785	SPP1	ENSTGUP00000002300	ortholog_one2one	1
	ENSG00000084754	HADHA	ENSTGUP00000027228	ortholog_one2many	1
POFUT2	ENSG00000186866	POFUT2	ENSTGUP00000003618	ortholog_one2one	1
PSMD10	ENSG00000101843	PSMD10	ENSTGUP00000024445	ortholog_one2one	1
					
SLC5A3	ENSG00000198743	SLC5A3	ENSTGUP00000031959	ortholog_one2one	1
					
					
NBN	ENSG00000104320	NBN	ENSTGUP00000012171	ortholog_one2one	1
RYR2	ENSG00000198626	RYR2	ENSTGUP00000027893	ortholog_one2one	1
					
ATG4A	ENSG00000101844	ATG4A	ENSTGUP00000004211	ortholog_one2one	1
					
MTIF3	ENSG00000122033	MTIF3	ENSTGUP00000036940	ortholog_one2one	1
					
HIVEP2	ENSG00000010818	HIVEP2	ENSTGUP00000011317	ortholog_one2one	1
					
PKD2	ENSG00000118762	PKD2	ENSTGUP00000002298	ortholog_one2one	1
					
RCHY1	ENSG00000163743	RCHY1	ENSTGUP00000001844	ortholog_one2one	1
TRMT6	ENSG00000089195	TRMT6	ENSTGUP00000002269	ortholog_one2one	1
PEX5	ENSG00000139197	PEX5	ENSTGUP00000029536	ortholog_one2one	1
DECR1	ENSG00000104325	DECR1	ENSTGUP00000028020	ortholog_one2one	1
					
UBAC2	ENSG00000134882	UBAC2	ENSTGUP00000011297	ortholog_one2one	1
	ENSG00000157833	GAREM2	ENSTGUP00000037099	ortholog_one2many	1
PRL	ENSG00000172179	PRL	ENSTGUP00000006544	ortholog_one2one	1
TRHR	ENSG00000174417	TRHR	ENSTGUP00000012606	ortholog_one2one	1
PARM1	ENSG00000169116	PARM1	ENSTGUP00000032476	ortholog_one2one	1
CPXM1	ENSG00000088882	CPXM1	ENSTGUP00000037577	ortholog_one2one	1
					
GTF3A	ENSG00000122034	GTF3A	ENSTGUP00000011938	ortholog_one2one	1
					
COL4A6	ENSG00000197565	COL4A6	ENSTGUP00000004257	ortholog_one2one	1
ABCG2	ENSG00000118777	ABCG2	ENSTGUP00000002279	ortholog_one2one	1
					
	ENSG00000170516	COX7B2	ENSTGUP00000006141	ortholog_one2many	0
	ENSG00000131174	COX7B	ENSTGUP00000006141	ortholog_one2many	1
					
CHGB	ENSG00000089199	CHGB	ENSTGUP00000038149	ortholog_one2one	1
ST6GAL2	ENSG00000144057	ST6GAL2	ENSTGUP00000026837	ortholog_one2one	1
SGCZ	ENSG00000185053	SGCZ	ENSTGUP00000020408	ortholog_one2one	1
GPR18	ENSG00000125245	GPR18	ENSTGUP00000018050	ortholog_one2one	1
	ENSG00000101353	MROH8	ENSTGUP00000021232	ortholog_one2many	0
ANKRD17	ENSG00000132466	ANKRD17	ENSTGUP00000001635	ortholog_one2one	1
					
					
CALB1	ENSG00000104327	CALB1	ENSTGUP00000028125	ortholog_one2one	1
					
BTC	ENSG00000174808	BTC	ENSTGUP00000001838	ortholog_one2one	1
GPR183	ENSG00000169508	GPR183	ENSTGUP00000011299	ortholog_one2one	1
RASL11A	ENSG00000122035	RASL11A	ENSTGUP00000025916	ortholog_one2one	1
NRSN1	ENSG00000152954	NRSN1	ENSTGUP00000006553	ortholog_one2one	1
					
NUFIP1	ENSG00000083635	NUFIP1	ENSTGUP00000012684	ortholog_one2one	1
WFS1	ENSG00000109501	WFS1	ENSTGUP00000026890	ortholog_one2one	1
					
					
					
					
					
ADGRF5	ENSG00000069122	ADGRF5	ENSTGUP00000036385	ortholog_one2one	1
					
					
					
GPALPP1	ENSG00000133114	GPALPP1	ENSTGUP00000012707	ortholog_one2one	1
DCDC2	ENSG00000146038	DCDC2	ENSTGUP00000006561	ortholog_one2one	1
					
RPL21	ENSG00000122026	RPL21	ENSTGUP00000011932	ortholog_one2one	1
SLC5A7	ENSG00000115665	SLC5A7	ENSTGUP00000009998	ortholog_one2one	1
tgu-mir-2984					
					
CHCHD3	ENSG00000106554	CHCHD3	ENSTGUP00000027144	ortholog_one2one	1
ADGRG6	ENSG00000112414	ADGRG6	ENSTGUP00000025347	ortholog_one2one	1
	ENSG00000084731	KIF3C	ENSTGUP00000038478	ortholog_one2many	1
					
MYO16	ENSG00000041515	MYO16	ENSTGUP00000028597	ortholog_one2one	1
					
NECAP1	ENSG00000089818	NECAP1	ENSTGUP00000028017	ortholog_one2one	1
GTF2F2	ENSG00000188342	GTF2F2	ENSTGUP00000012700	ortholog_one2one	1
VIRMA	ENSG00000164944	VIRMA	ENSTGUP00000012265	ortholog_one2one	1
ALB	ENSG00000163631	ALB	ENSTGUP00000033723	ortholog_one2one	1
	ENSG00000252459		ENSTGUT00000018268	ortholog_one2many	0
	ENSG00000201807		ENSTGUT00000018268	ortholog_one2many	0
	ENSG00000200235		ENSTGUT00000018268	ortholog_one2many	0
	ENSG00000199474		ENSTGUT00000018268	ortholog_one2many	0
	ENSG00000207051	SNORA27	ENSTGUT00000018268	ortholog_one2many	1
LRRN3	ENSG00000173114	LRRN3	ENSTGUP00000005746	ortholog_one2one	1
NUDCD1	ENSG00000120526	NUDCD1	ENSTGUP00000012611	ortholog_one2one	1
TM9SF2	ENSG00000125304	TM9SF2	ENSTGUP00000011293	ortholog_one2one	1
FGF14	ENSG00000102466	FGF14	ENSTGUP00000011198	ortholog_one2one	1
NKX2-1	ENSG00000136352	NKX2-1	ENSTGUP00000012373	ortholog_one2one	1
CGA	ENSG00000135346	CGA	ENSTGUP00000012836	ortholog_one2one	1
					
TRPM8	ENSG00000144481	TRPM8	ENSTGUP00000003679	ortholog_one2one	1
SNORD102	ENSG00000207500	SNORD102	ENSTGUT00000019440	ortholog_one2one	1
					
DCTN6	ENSG00000104671	DCTN6	ENSTGUP00000025279	ortholog_one2one	1
MRS2	ENSG00000124532	MRS2	ENSTGUP00000006575	ortholog_one2one	1
					
DTL	ENSG00000143476	DTL	ENSTGUP00000003208	ortholog_one2one	1
ZBTB20	ENSG00000181722	ZBTB20	ENSTGUP00000013800	ortholog_one2one	1
RNF217	ENSG00000146373	RNF217	ENSTGUP00000018607	ortholog_one2one	1
tgu-mir-383	ENSG00000199127	MIR383	ENSTGUT00000018314	ortholog_one2one	1
					
					
COL4A5	ENSG00000188153	COL4A5	ENSTGUP00000020155	ortholog_one2one	1
KCTD4	ENSG00000180332	KCTD4	ENSTGUP00000037294	ortholog_one2one	1
	ENSG00000143970	ASXL2	ENSTGUP00000021702	ortholog_one2many	1
TMEM64	ENSG00000180694	TMEM64	ENSTGUP00000012188	ortholog_one2one	1
DNAJB9	ENSG00000128590	DNAJB9	ENSTGUP00000005760	ortholog_one2one	1
HSPA12A	ENSG00000165868	HSPA12A	ENSTGUP00000011379	ortholog_one2one	1
ATP7A	ENSG00000165240	ATP7A	ENSTGUP00000006210	ortholog_one2one	1
					
					
					
NKX2-8	ENSG00000136327	NKX2-8	ENSTGUP00000038469	ortholog_one2one	1
					
SKAP2	ENSG00000005020	SKAP2	ENSTGUP00000002980	ortholog_one2one	1
					
					
AVL9	ENSG00000105778	AVL9	ENSTGUP00000031908	ortholog_one2one	1
CLPTM1L	ENSG00000049656	CLPTM1L	ENSTGUP00000008710	ortholog_one2one	1
					
REP15	ENSG00000174236	REP15	ENSTGUP00000012524	ortholog_one2one	1
ERP27	ENSG00000139055	ERP27	ENSTGUP00000009509	ortholog_one2one	1
					
	ENSG00000204872	NAT8B	ENSTGUP00000025298	ortholog_one2many	0
	ENSG00000144035	NAT8	ENSTGUP00000025298	ortholog_one2many	0
ENY2	ENSG00000120533	ENY2	ENSTGUP00000034421	ortholog_one2one	1
					
					
ESRP1	ENSG00000104413	ESRP1	ENSTGUP00000012268	ortholog_one2one	1
					
OCRL	ENSG00000122126	OCRL	ENSTGUP00000005200	ortholog_one2one	1
FOXJ2	ENSG00000065970	FOXJ2	ENSTGUP00000013528	ortholog_one2one	1
EPHA1	ENSG00000146904	EPHA1	ENSTGUP00000013638	ortholog_one2one	1
					
G3BP2	ENSG00000138757	G3BP2	ENSTGUP00000001617	ortholog_one2one	1
JAKMIP1	ENSG00000152969	JAKMIP1	ENSTGUP00000036342	ortholog_one2one	1
					
USP12	ENSG00000152484	USP12	ENSTGUP00000023824	ortholog_one2one	1
					
					
					
	ENSG00000138101	DTNB	ENSTGUP00000024058	ortholog_one2one	0
SULT1C3	ENSG00000196228	SULT1C3	ENSTGUP00000035410	ortholog_one2one	1
					
					
THAP5	ENSG00000177683	THAP5	ENSTGUP00000028493	ortholog_one2one	1
TPT1	ENSG00000133112	TPT1	ENSTGUP00000026181	ortholog_one2one	1
					
WDR27	ENSG00000184465	WDR27	ENSTGUP00000024673	ortholog_one2one	1
GPLD1	ENSG00000112293	GPLD1	ENSTGUP00000006628	ortholog_one2one	1
					
					
GPCPD1	ENSG00000125772	GPCPD1	ENSTGUP00000032651	ortholog_one2one	1
PAX9	ENSG00000198807	PAX9	ENSTGUP00000012376	ortholog_one2one	1
ZNF292	ENSG00000188994	ZNF292	ENSTGUP00000012833	ortholog_one2one	1
CDH18	ENSG00000145526	CDH18	ENSTGUP00000007477	ortholog_one2one	1
					
					
PPP2R5A	ENSG00000066027	PPP2R5A	ENSTGUP00000028787	ortholog_one2one	1
					
RBPMS	ENSG00000157110	RBPMS	ENSTGUP00000032432	ortholog_one2one	1
TNFRSF21	ENSG00000146072	TNFRSF21	ENSTGUP00000025539	ortholog_one2one	1
					
CTBP1	ENSG00000159692	CTBP1	ENSTGUP00000010999	ortholog_one2one	1
					
PLAC8	ENSG00000145287	PLAC8	ENSTGUP00000037084	ortholog_one2one	1
GART	ENSG00000159131	GART	ENSTGUP00000029287	ortholog_one2one	1
TUSC3	ENSG00000104723	TUSC3	ENSTGUP00000026956	ortholog_one2one	1
NECAB1	ENSG00000123119	NECAB1	ENSTGUP00000012190	ortholog_one2one	1
					
ENO4	ENSG00000188316	ENO4	ENSTGUP00000011384	ortholog_one2one	1
					
					
					
PLXNA4	ENSG00000221866	PLXNA4	ENSTGUP00000002023	ortholog_one2one	1
ADGRB3	ENSG00000135298	ADGRB3	ENSTGUP00000019492	ortholog_one2one	1
EBAG9	ENSG00000147654	EBAG9	ENSTGUP00000021541	ortholog_one2one	1
LPCAT1	ENSG00000153395	LPCAT1	ENSTGUP00000008747	ortholog_one2one	1
TPP2	ENSG00000134900	TPP2	ENSTGUP00000037718	ortholog_one2one	1
IRS4	ENSG00000133124	IRS4	ENSTGUP00000027489	ortholog_one2one	1
CLYBL	ENSG00000125246	CLYBL	ENSTGUP00000030151	ortholog_one2one	1
					
PALLD	ENSG00000129116	PALLD	ENSTGUP00000006244	ortholog_one2one	1
	ENSG00000199477	SNORA31	ENSTGUT00000019392	ortholog_one2one	0
SLC25A21	ENSG00000183032	SLC25A21	ENSTGUP00000012381	ortholog_one2one	1
					
GAP43	ENSG00000172020	GAP43	ENSTGUP00000038540	ortholog_one2one	1
					
	ENSG00000170950	PGK2	ENSTGUP00000025678	ortholog_one2many	1
	ENSG00000102144	PGK1	ENSTGUP00000025678	ortholog_one2many	1
IDH3B	ENSG00000101365	IDH3B	ENSTGUP00000014172	ortholog_one2one	1
PNPLA8	ENSG00000135241	PNPLA8	ENSTGUP00000005783	ortholog_one2one	1
					
	ENSG00000255192	NANOGP8	ENSTGUP00000013515	ortholog_many2many	0
	ENSG00000111704	NANOG	ENSTGUP00000013515	ortholog_many2many	0
SLC25A30	ENSG00000174032	SLC25A30	ENSTGUP00000012682	ortholog_one2one	1
BMAL2	ENSG00000029153	BMAL2	ENSTGUP00000022817	ortholog_one2one	1
					
USO1	ENSG00000138768	USO1	ENSTGUP00000001605	ortholog_one2one	1
					
					
GCC2	ENSG00000135968	GCC2	ENSTGUP00000038081	ortholog_one2one	1
DPY19L4	ENSG00000156162	DPY19L4	ENSTGUP00000012279	ortholog_one2one	1
					
	ENSG00000119772	DNMT3A	ENSTGUP00000037483	ortholog_one2many	1
GJB7	ENSG00000164411	GJB7	ENSTGUP00000023036	ortholog_one2one	1
					
					
ZYX	ENSG00000159840	ZYX	ENSTGUP00000027044	ortholog_one2one	1
GPR12	ENSG00000132975	GPR12	ENSTGUP00000021948	ortholog_one2one	1
PACC1	ENSG00000065600	PACC1	ENSTGUP00000028100	ortholog_one2one	1
					
	ENSG00000255192	NANOGP8	ENSTGUP00000013513	ortholog_many2many	0
	ENSG00000111704	NANOG	ENSTGUP00000013513	ortholog_many2many	0
NOP56	ENSG00000101361	NOP56	ENSTGUP00000026526	ortholog_one2one	1
VTA1	ENSG00000009844	VTA1	ENSTGUP00000011288	ortholog_one2one	1
SMIM8	ENSG00000111850	SMIM8	ENSTGUP00000012830	ortholog_one2one	1
					
					
					
COQ2	ENSG00000173085	COQ2	ENSTGUP00000002262	ortholog_one2one	1
					
COG3	ENSG00000136152	COG3	ENSTGUP00000012678	ortholog_one2one	1
NXT2	ENSG00000101888	NXT2	ENSTGUP00000032780	ortholog_one2one	1
TPD52L1	ENSG00000111907	TPD52L1	ENSTGUP00000012165	ortholog_one2one	1
GTF2E2	ENSG00000197265	GTF2E2	ENSTGUP00000023182	ortholog_one2one	1
HOXA1	ENSG00000105991	HOXA1	ENSTGUP00000036751	ortholog_one2one	1
					
					
					
ALDH5A1	ENSG00000112294	ALDH5A1	ENSTGUP00000024905	ortholog_one2one	1
SYBU	ENSG00000147642	SYBU	ENSTGUP00000012628	ortholog_one2one	1
BASP1	ENSG00000176788	BASP1	ENSTGUP00000035250	ortholog_one2one	1
					
SNORD57	ENSG00000226572	SNORD57	ENSTGUT00000019302	ortholog_one2one	1
MIPOL1	ENSG00000151338	MIPOL1	ENSTGUP00000012382	ortholog_one2one	1
MGP	ENSG00000111341	MGP	ENSTGUP00000024548	ortholog_one2one	1
					
	ENSG00000111701	APOBEC1	ENSTGUP00000035438	ortholog_one2many	0
LSAMP	ENSG00000185565	LSAMP	ENSTGUP00000033528	ortholog_one2one	1
WASF3	ENSG00000132970	WASF3	ENSTGUP00000025136	ortholog_one2one	1
SHTN1	ENSG00000187164	SHTN1	ENSTGUP00000030001	ortholog_one2one	1
	ENSG00000207444	SNORD56B	ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000200377		ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000200112		ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000207299		ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000200753		ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000229686	SNORD56	ENSTGUT00000024458	ortholog_one2many	1
	ENSG00000201151		ENSTGUT00000024458	ortholog_one2many	0
	ENSG00000199783		ENSTGUT00000024458	ortholog_one2many	0
NDUFS6	ENSG00000145494	NDUFS6	ENSTGUP00000008749	ortholog_one2one	1
NENF	ENSG00000117691	NENF	ENSTGUP00000034355	ortholog_one2one	1
GJE1	ENSG00000203733	GJE1	ENSTGUP00000029168	ortholog_one2one	1
PSEN1	ENSG00000080815	PSEN1	ENSTGUP00000027530	ortholog_one2one	1
ZIC5	ENSG00000139800	ZIC5	ENSTGUP00000020273	ortholog_one2one	1
HPSE	ENSG00000173083	HPSE	ENSTGUP00000002253	ortholog_one2one	1
CFAP206	ENSG00000272514	CFAP206	ENSTGUP00000012827	ortholog_one2one	1
					
HOXA2	ENSG00000105996	HOXA2	ENSTGUP00000002984	ortholog_one2one	1
					
FKBP9	ENSG00000122642	FKBP9	ENSTGUP00000038295	ortholog_one2one	1
LNX1	ENSG00000072201	LNX1	ENSTGUP00000008056	ortholog_one2one	1
					
